"","env1","env2","env3","env4","env5","env6","lat","long"
"s__un_f__Thermomonosporaceae",0.38828,0.11299,0.52878,0.80335,0.42306,0.52015,0.51191,0.04946
"s__Pelomonas_puraquae",0.34754,0.33445,0.06034,0.10288,0.08268,0.25084,0.54855,0.30399
"s__Rhizobacter_bergeniae",0.90805,0.47155,0.23263,0.43129,0.01401,0.29583,0.74555,0.8487
"s__Flavobacterium_terrae",0.35298,0.34512,0.29466,0.80753,0.73716,0.41467,0.46215,0.6514
"s__un_g__Rhizobacter",0.78381,0.25895,0.02114,0.88025,0.53073,0.3151,0.67532,0.12214
"s__un_o__Burkholderiales",0.16354,0.17479,0.13421,0.08232,0.48767,0.44976,0.58836,0.63147
"s__un_g__Streptomyces",0.3202,0.86813,0.96731,0.25658,0.60893,0.20381,0.86224,0.25945
"s__Lentzea_flaviverrucosa",0.31106,0.0328,0.54934,0.95176,0.48274,0.6172,0.16947,0.87384
"s__un_g__Actinoplanes",0.6813,0.12656,0.3325,0.86674,0.25866,0.43133,0.2986,0.03291
"s__un_g__Rhizobium",0.21448,0.2444,0.17084,0.55811,0.06362,0.32971,0.24844,0.57936
"s__un_g__Noviherbaspirillum",0.78671,0.79258,0.44989,0.75842,0.87227,0.38932,0.24005,0.10733
"s__un_f__Comamonadaceae",0.05375,0.91462,0.5872,0.65806,0.41823,0.36188,0.92639,0.51074
"s__Bradyrhizobium_neotropicale",0.00972,0.94164,0.21011,0.8709,0.96773,0.49547,0.79358,0.78748
"s__Streptomyces_ederensis",0.98823,0.50886,0.61552,0.12426,0.36601,0.20685,0.42473,0.2654
"s__Actinocorallia_herbida",0.111,0.08094,0.16024,0.45231,0.87335,0.11899,0.50704,0.16764
"s__un_g__Amycolatopsis",0.38136,0.04189,0.04016,0.89502,0.43669,0.103,0.53219,0.52868
"s__un_p__Proteobacteria",0.76955,0.50323,0.23586,0.97298,0.74242,0.14446,0.26558,0.68229
"s__Actinophytocola_burenkhanensis",0.48879,0.25027,0.45492,0.63021,0.8723,0.92907,0.5557,0.20515
"s__Kribbella_catacumbae",0.97795,0.18058,0.56103,0.54737,0.49208,0.33779,0.33903,0.10032
"s__un_o__Rhizobiales",0.88273,0.13651,0.87133,0.58028,0.48296,0.86278,0.86593,0.048
"s__un_g__Sphingomonas",0.29362,0.61544,0.41339,0.17373,0.12081,0.4684,0.21816,0.64135
"s__Amycolatopsis_keratiniphila_subsp._keratiniphila",0.06176,0.08946,0.20969,0.31259,0.08369,0.16617,0.74493,0.94165
"s__un_f__Burkholderiales_incertae_sedis",0.89027,0.83296,0.5293,0.26573,0.2682,0.83245,0.87576,0.34524
"s__Kinneretia_asaccharophila",0.3948,0.65325,0.33899,0.61591,0.63957,0.87756,0.35174,0.8174
"s__Kineosporia_rhamnosa",0.04572,0.22351,0.5381,0.95992,0.31352,0.09678,0.49192,0.21091
