"","env1","env2","env3","env4","env5","env6","lat","long"
"s__un_f__Thermomonosporaceae",-0.21646,-0.38662,-0.15892,-0.06317,-0.20133,0.16222,0.16539,-0.46926
"s__Pelomonas_puraquae",0.23517,-0.24144,-0.45095,-0.39695,0.42001,0.28547,0.15146,0.25662
"s__Rhizobacter_bergeniae",0.02932,-0.1813,-0.29623,-0.19785,0.56759,0.26083,0.08226,-0.04842
"s__Flavobacterium_terrae",0.2326,0.23632,-0.26144,-0.0618,-0.08507,0.20492,-0.1851,0.11435
"s__un_g__Rhizobacter",0.06958,-0.28084,-0.53849,-0.03824,0.15818,0.25098,0.10606,0.37783
"s__un_o__Burkholderiales",0.34295,-0.33455,-0.36691,-0.42046,0.17487,0.19017,0.13678,0.12135
"s__un_g__Streptomyces",-0.24844,0.04214,-0.01041,-0.28219,0.12936,0.31443,-0.04404,-0.28056
"s__Lentzea_flaviverrucosa",-0.25302,-0.50437,-0.15116,-0.01536,0.17682,0.12641,0.33848,-0.0403
"s__un_g__Actinoplanes",0.104,-0.37374,0.24239,0.04259,-0.281,-0.19784,0.25939,-0.50411
"s__un_g__Rhizobium",0.30751,-0.28922,-0.33746,-0.1479,0.44593,0.24375,0.28686,0.14006
"s__un_g__Noviherbaspirillum",-0.06863,0.0667,-0.19011,0.07798,0.04081,0.216,-0.29179,0.39232
"s__un_f__Comamonadaceae",0.46171,0.02722,-0.1372,0.11203,-0.20339,-0.22845,0.02346,0.16585
"s__Bradyrhizobium_neotropicale",0.59152,0.01859,0.31032,0.04125,0.01027,-0.1718,0.06637,0.06838
"s__Streptomyces_ederensis",0.00375,-0.16657,-0.12701,-0.37586,0.22654,0.31243,0.20062,-0.27722
"s__Actinocorallia_herbida",-0.3886,-0.42219,-0.34549,0.18912,0.04046,0.3808,0.16728,-0.33985
"s__un_g__Amycolatopsis",-0.21956,-0.48386,-0.48748,0.0335,0.19559,0.39682,0.15763,-0.15896
"s__un_p__Proteobacteria",-0.07429,-0.16876,0.29428,-0.0086,0.08331,-0.35816,0.27712,-0.10367
"s__Actinophytocola_burenkhanensis",0.17443,0.2858,0.18805,-0.12179,-0.0408,-0.0226,-0.14879,0.31355
